
tweet_date,tweet_id,tweet_source,tweet_user,tweet_user_location,tweet_user_follower,tweet_user_friends,tweet_user_nstatuses,tweet_hashtags,tweet_mentions,tweet_text
2019-06-01 06:36:39,1134710329911283712,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,mereka mati kenapa yang disalahkan jokowi sudah jelas mereka turun berdemo dengan senang hati dibunuhpun juga bukan karena polisi melainkan karena jelas ada penyusup yang memang berniat membunuh 
2019-06-01 06:36:38,1134710328430694400,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,karena penyeldikan butuh waktu diwaktu yg senggang ini izinkan kabur terlebih dahulu sebelum pasti terseret nantinyadiluar negeriteritorial cukup amanakan sulit mengejarnya walau sebenarnya pasti bisa juga dikejar 
2019-06-01 06:36:38,1134710327000543232,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,karena tau persis aksi 2122 mei ulahnya siapa perbuatannya siapa siapa dalangnya siapa pemodalnya siapa masterplannya 
2019-06-01 06:36:36,1134710320503508992,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,kubu oposisi lewat para buzzernya dimedsos sedang berupaya memanasmanasi situasi sedangkan junjungan yang ia bela telah lari dari indonesia 
2019-06-01 06:36:35,1134710314908340225,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,mereka mati kenapa yang disalahkan jokowi sudah jelas mereka turun berdemo dengan senang hati dibunuhpun juga bukan karena polisi melainkan karena jelas ada penyusup yang memang berniat membunuh 
2019-06-01 06:34:54,1134709890386018304,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,mereka mati kenapa yang disalahkan jokowi sudah jelas mereka turun berdemo dengan senang hati dibunuhpun juga bukan karena polisi melainkan karena jelas ada penyusup yang memang berniat membunuh 
2019-06-01 06:34:54,1134709889010348032,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,karena penyeldikan butuh waktu diwaktu yg senggang ini izinkan kabur terlebih dahulu sebelum pasti terseret nantinyadiluar negeriteritorial cukup amanakan sulit mengejarnya walau sebenarnya pasti bisa juga dikejar 
2019-06-01 06:34:53,1134709886342664193,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,karena tau persis aksi 2122 mei ulahnya siapa perbuatannya siapa siapa dalangnya siapa pemodalnya siapa masterplannya 
2019-06-01 06:34:53,1134709884820250625,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,kubu oposisi lewat para buzzernya dimedsos sedang berupaya memanasmanasi situasi sedangkan junjungan yang ia bela telah lari dari indonesia 
2019-06-01 06:34:52,1134709882051891201,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,kubu oposisi melalui para buzzernya di media sosial berupaya untuk terus memanaskan situasi sementara elite politiknya pergi dari indonesia untuk sementara waktu 
2019-06-01 06:33:38,1134709570281005056,Mobile Web (M2),dinamarinadee,,392,31,3475,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,prabowo yang kalah kenapa juga harus jokowi yang mengalah 
2019-06-01 06:33:27,1134709526127452161,Twitter for Android,acretta,Indonesia,175,692,1486,InternationalCriminalCourtSOS PrabowoJanganTemuiJokowi JokowiPelanggarHAM JokowiMundurlah DoaBersamaTragedi2122Mei,,semakin tak bermoral para penguasa seakan memang memaksa terjadinya chaosperang total ala kacungbekerja sangat maksimal amp membabi buta 
2019-06-01 06:31:13,1134708963801423873,Mobile Web (M2),bartaarjuana,"Jakarta Pusat, DKI Jakarta",376,70,3058,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,tangkap prabowo 
2019-06-01 06:27:46,1134708093797797889,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,pendukung 02 bikin rusuh yang disalahkan jokowi 
2019-06-01 06:26:18,1134707725437362181,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoKalahJokowiDimintaMengalah DoaBersamaTragedi2122Mei,,kekalahan prabowo kenapa jokowi yang harus mengalah 
2019-06-01 06:21:42,1134706569264762880,Mobile Web (M2),dinasukmara,,390,29,2821,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,poin utama dari kasus pelibatan anak tersebut adalah menemukan dalang yang menggerakan anakanak untuk berada di lokasi kerusuhan 
2019-06-01 06:19:28,1134706007748227072,Mobile Web (M2),kirejener,"Jakarta Pusat, DKI Jakarta",377,60,2766,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,mestinya mereka hrs bertanggungjawab karena anakanak terlibat dalam rusuh 22 mei 
2019-06-01 06:16:55,1134705367177256961,Mobile Web (M2),yoojungmu,,10613,12589,93163,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,provokasiprovokasi yang dilakukan oleh prabowosandi di dalam upaya menggerakan massa telah mengambil korban dari anakanak juga 
2019-06-01 06:15:50,1134705092802646016,Mobile Web (M2),dinikirana7,,384,24,3935,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,pasalnya prabowosandi sejak awal tidak mempunyai itikad baik menyelesaikan sengketa hasil pemilu melalui jalur konstitusional 
2019-06-01 06:14:36,1134704782675927042,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,kpu bawaslu dan mk merupakan lembagalembaga demokrasi yang sudah bekerja secara profesional selama ini namun hanya karena ambisi kekuasaan prabowosandi maka lembagalembaga ini menjadi korban delegitimasi 
2019-06-01 06:14:36,1134704780872302593,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,pak prabowo dan sandi ini juga harus bertanggung jawab karena mereka merusak institusi demokrasi kita merusak kepercayaan publik terhadap institusi demokrasi kita dengan cara sistematis 
2019-06-01 06:14:35,1134704779366522881,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,pasalnya prabowosandi melakukan upaya yang sistematis merusak kepercayaan institusi demokrasi seperti kpu dan bawaslu sebagai penyelenggara pemilu 
2019-06-01 06:14:35,1134704777919467527,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,selain itu kata andy budinan prabowosandi juga harus bertanggung jawab atas rusaknya institusi demokrasi 
2019-06-01 06:14:34,1134704775168004096,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,pasalnya prabowosandi sejak awal tidak mempunyai itikad baik menyelesaikan sengketa hasil pemilu melalui jalur konstitusional 
2019-06-01 06:14:34,1134704773632888832,Twitter Web Client,HaluanKita,Indonesia,1605,1520,5969,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,juru bicara partai solidaritas indonesia psi andy budiman meminta pasangan calon presidenwakil presiden nomor urut 02 prabowo subianto dan sandiaga uno bertanggung jawab atas kerusuhan 2122 mei 2019 di jakarta 
2019-06-01 06:14:20,1134704717014024192,Mobile Web (M2),dinikirana7,,384,24,3935,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,poin utama dari kasus pelibatan anak tersebut adalah menemukan dalang yang menggerakan anakanak untuk berada di lokasi kerusuhan 
2019-06-01 06:13:36,1134704530149367808,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,menuntut pertanggungjawaban prabowo atas korban anak di rush 22 mei 
2019-06-01 06:12:50,1134704339371454464,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,kpu bawaslu dan mk merupakan lembagalembaga demokrasi yang sudah bekerja secara profesional selama ini namun hanya karena ambisi kekuasaan prabowosandi maka lembagalembaga ini menjadi korban delegitimasi 
2019-06-01 06:12:50,1134704337886650368,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,pak prabowo dan sandi ini juga harus bertanggung jawab karena mereka merusak institusi demokrasi kita merusak kepercayaan publik terhadap institusi demokrasi kita dengan cara sistematis 
2019-06-01 06:12:50,1134704336250986497,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,pasalnya prabowosandi melakukan upaya yang sistematis merusak kepercayaan institusi demokrasi seperti kpu dan bawaslu sebagai penyelenggara pemilu 
2019-06-01 06:12:48,1134704329695252480,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,selain itu kata andy budinan prabowosandi juga harus bertanggung jawab atas rusaknya institusi demokrasi 
2019-06-01 06:12:47,1134704326796963841,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,pasalnya prabowosandi sejak awal tidak mempunyai itikad baik menyelesaikan sengketa hasil pemilu melalui jalur konstitusional 
2019-06-01 06:12:47,1134704325433782272,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,juru bicara partai solidaritas indonesia psi andy budiman meminta pasangan calon presidenwakil presiden nomor urut 02 prabowo subianto dan sandiaga uno bertanggung jawab atas kerusuhan 2122 mei 2019 di jakarta 
2019-06-01 06:09:02,1134703380293488645,Twitter for Android,Maksum_cahndeso,Trenggalek,475,496,2170,DoaBersamaTragedi2122Mei,,dalam kurun pemerintah rezim ini kayaknya memang sering ada issu makar ya jadi ngeri sendiri mau nulis status medsos aja sudah miris apalagi nulis opini kritis nasibnasibnasib 
2019-06-01 06:08:36,1134703270134308865,Twitter for Android,acretta,Indonesia,175,692,1486,PrabowoJanganTemuiJokowi InternationalCriminalCourtSOS JokowiPelanggarHAM JokowiMundurlah DoaBersamaTragedi2122Mei,,bangsanya baik saja tpi para pemimpin bangsanya yg sedang kehilangan urat malu 
2019-06-01 06:06:15,1134702682403291137,Twitter Web Client,notbuzzer,Indonesia,85739,48796,147368,PrabowoHarusTanggungJawab DoaBersamaTragedi2122Mei,,meminta pertanggungjawaban prabowo atas korban anak di rusuh 22 mei 
